English,Spanish
part,parte
history,historia
search,búsqueda
only,solamente
police,policía
thought,pensamiento
help,ayuda
request,solicitud
kind,tipo
month,mes
brother,hermano
let,dejar
because,porque
to put,poner
no,no
leash,Correa
them,a ellos
city,ciudad
each,cada
speak,hablar
come,venir
should,debería
baby,bebé
long time,largo tiempo
hours,horas
will,voluntad
while,tiempo
meet again,reunirse de nuevo
any,ningún
square,cuadrado
speak,hablar
understood,comprendido
knew,supo
were,fueron
Warning,Advertencia
here is,aquí está
could,pudo
case,caso
give,dar
type,escribe
their,sus
given,dado
train,tren
body,cuerpo
place,lugar
eyes,ojos
way,camino
listen,escuchar
whose,cuyo
find,encontrar
first,primero
lost,perdió
hand,mano
first,primero
side,lado
power,energía
old,antiguo
be,ser
here,aquí
morning,Mañana
so much,mucho
child,niño
point,punto
came,vino
after,después
sorry,perdón
come,venir
in front of,en frente de
towards,hacia
minutes,minutos
request,solicitud
bedroom,dormitorio
placed,metido
beautiful,hermoso
law,ley
would like to,gustaria
today,Este Dia
husband,esposo
cause,causa
finally,finalmente
hope,esperar
water,agua
Wait,Esperar
left,izquierda
new,nuevo
job,trabajo
Stop,Deténgase
would say,diría
Earth,Tierra
account,cuenta
given,dado
far,lejos
end,final
believe,creer
sweetheart,cariño
large,largo
rather,bastante
will have,tendrá
girls,muchachas
to play,jugar
office,oficina